"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"SF_ID";"VALUE";
"ADR0";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";
"ADR1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C2";"100n";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C3";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C4";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C5";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C6";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C7";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C8";"330p";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C9";"330p";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C10";"100n";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C11";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C12";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C13";"100n";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C14";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C15";"100n";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C16";"330p";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C17";"330p";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"7";"";"";"";
"I2C_PAD";"";"CONN_03X2SHROUD";"2X3-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-10681";"PRT_10877";"";
"IC1";"OPA1654AIDR";"OPA1654AIDR";"SOIC127P600X175-14N";"Quad sound plus low noise and distortion, general-purpose, FET-input audio op amps";"Quad sound plus low noise and distortion, general-purpose, FET-input audio op amps";"1.75mm";"Texas Instruments";"OPA1654AIDR";"595-OPA1654AIDR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/OPA1654AIDR/?qs=3jfYfyvUSwBoAaznhYMhNg%3D%3D";"";"";"";"";
"IC2";"MCP4651-502E_ST";"MCP4651-502E_ST";"SOP65P640X120-14N";"Digital Potentiometer 256 Step 5kOhm";"Digital Potentiometer 256 Step 5kOhm";"1.2mm";"Microchip";"MCP4651-502E/ST";"579-MCP4651-502E/ST";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP4651-502E-ST/?qs=hH%252BOa0VZEiDW0L9aQHIQAA%3D%3D";"";"";"";"";
"IC3";"SN74LVC1G66";"74LVC1G66";"SOT23-5";"SN74LVC1G66 - SPST NO Analog Switch";"";"";"";"";"";"";"";"IC-13549";"";"SN74LVC1G66";
"IC4";"SN74LVC1G66";"74LVC1G66";"SOT23-5";"SN74LVC1G66 - SPST NO Analog Switch";"";"";"";"";"";"";"";"IC-13549";"";"SN74LVC1G66";
"INPUT";"";"CONN_03X2SHROUD";"2X3-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-10681";"PRT_10877";"";
"JP_GND";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND1";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND2";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"JP_GND3";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"OUTPUT";"";"CONN_05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"CONN-08671";"PRT-08506";"";
"R1";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R3";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R4";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R5";"2k2";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R6";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R7";"470k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R9";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R11";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R12";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R13";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R14";"5k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R15";"270";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R16";"270";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R18";"2k2";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
"R20";"10k";"R_0805";"R0805";"RESISTOR";"";"";"";"";"";"";"";"";"";"";
